group,housing,band_lower_gbp_week,pct
All,BHC,0.0,0.659099
All,BHC,10.0,0.056906
All,BHC,20.0,0.062142
All,BHC,30.0,0.040526
All,BHC,40.0,0.0587
All,BHC,50.0,0.025541
All,BHC,60.0,0.046265
All,BHC,70.0,0.104705
All,BHC,80.0,0.084364
All,BHC,90.0,0.093145
All,BHC,100.0,0.102431
All,BHC,110.0,0.117524
All,BHC,120.0,0.096882
All,BHC,130.0,0.10132
All,BHC,140.0,0.12826100000000001
All,BHC,150.0,0.120847
All,BHC,160.0,0.223576
All,BHC,170.0,0.140729
All,BHC,180.0,0.148683
All,BHC,190.0,0.200223
All,BHC,200.0,0.160713
All,BHC,210.0,0.250907
All,BHC,220.0,0.226074
All,BHC,230.0,0.259426
All,BHC,240.0,0.420632
All,BHC,250.0,0.274441
All,BHC,260.0,0.414255
All,BHC,270.0,0.480314
All,BHC,280.0,0.436995
All,BHC,290.0,0.4531
All,BHC,300.0,0.674812
All,BHC,310.0,0.529695
All,BHC,320.0,0.521694
All,BHC,330.0,0.4821
All,BHC,340.0,0.63918
All,BHC,350.0,0.729411
All,BHC,360.0,0.561662
All,BHC,370.0,0.820811
All,BHC,380.0,0.704199
All,BHC,390.0,0.601407
All,BHC,400.0,0.678901
All,BHC,410.0,0.707262
All,BHC,420.0,0.785783
All,BHC,430.0,0.909311
All,BHC,440.0,0.723004
All,BHC,450.0,0.917886
All,BHC,460.0,0.915639
All,BHC,470.0,0.814156
All,BHC,480.0,0.764275
All,BHC,490.0,1.095283
All,BHC,500.0,0.842217
All,BHC,510.0,0.953093
All,BHC,520.0,1.03941
All,BHC,530.0,0.898249
All,BHC,540.0,0.818615
All,BHC,550.0,0.850253
All,BHC,560.0,0.955596
All,BHC,570.0,0.999599
All,BHC,580.0,0.849619
All,BHC,590.0,0.789826
All,BHC,600.0,0.83187
All,BHC,610.0,0.924785
All,BHC,620.0,0.842015
All,BHC,630.0,0.737585
All,BHC,640.0,0.919291
All,BHC,650.0,0.781585
All,BHC,660.0,0.817458
All,BHC,670.0,0.774022
All,BHC,680.0,0.81357
All,BHC,690.0,0.847454
All,BHC,700.0,0.666902
All,BHC,710.0,0.629944
All,BHC,720.0,0.735421
All,BHC,730.0,0.623213
All,BHC,740.0,0.72251
All,BHC,750.0,0.583872
All,BHC,760.0,0.620083
All,BHC,770.0,0.721183
All,BHC,780.0,0.690713
All,BHC,790.0,0.53144
All,BHC,800.0,0.689614
All,BHC,810.0,0.530638
All,BHC,820.0,0.667847
All,BHC,830.0,0.522882
All,BHC,840.0,0.462536
All,BHC,850.0,0.519354
All,BHC,860.0,0.612453
All,BHC,870.0,0.494657
All,BHC,880.0,0.506047
All,BHC,890.0,0.397742
All,BHC,900.0,0.4454
All,BHC,910.0,0.413201
All,BHC,920.0,0.442006
All,BHC,930.0,0.525414
All,BHC,940.0,0.481352
All,BHC,950.0,0.416732
All,BHC,960.0,0.364413
All,BHC,970.0,0.488014
All,BHC,980.0,0.326993
All,BHC,990.0,0.355173
All,BHC,1000.0,0.35223
All,BHC,1010.0,0.348444
All,BHC,1020.0,0.307884
All,BHC,1030.0,0.402868
All,BHC,1040.0,0.244288
All,BHC,1050.0,0.299824
All,BHC,1060.0,0.29875
All,BHC,1070.0,0.259474
All,BHC,1080.0,0.359759
All,BHC,1090.0,0.269574
All,BHC,1100.0,0.308535
All,BHC,1110.0,0.185506
All,BHC,1120.0,0.303443
All,BHC,1130.0,0.320377
All,BHC,1140.0,0.21718
All,BHC,1150.0,0.293225
All,BHC,1160.0,0.183619
All,BHC,1170.0,0.14051
All,BHC,1180.0,0.230571
All,BHC,1190.0,0.230338
All,BHC,1200.0,0.197928
All,BHC,1210.0,0.198402
All,BHC,1220.0,0.121282
All,BHC,1230.0,0.147273
All,BHC,1240.0,0.154705
All,BHC,1250.0,0.181441
All,BHC,1260.0,0.142745
All,BHC,1270.0,0.201594
All,BHC,1280.0,0.130828
All,BHC,1290.0,0.100235
All,BHC,1300.0,0.133971
All,BHC,1310.0,0.156772
All,BHC,1320.0,0.196056
All,BHC,1330.0,0.093151
All,BHC,1340.0,0.112615
All,BHC,1350.0,0.136702
All,BHC,1360.0,0.084599
All,BHC,1370.0,0.103
All,BHC,1380.0,0.128225
All,BHC,1390.0,0.104129
All,BHC,1400.0,0.157431
All,BHC,1410.0,0.125709
All,BHC,1420.0,0.11302
All,BHC,1430.0,0.111344
All,BHC,1440.0,0.103823
All,BHC,1450.0,0.09062
All,BHC,1460.0,0.057949
All,BHC,1470.0,0.110991
All,BHC,1480.0,0.128265
All,BHC,1490.0,0.052565
All,BHC,1500.0,4.039205
All,AHC,-110.0,0.483277
All,AHC,-100.0,0.056832
All,AHC,-90.0,0.021078
All,AHC,-80.0,0.043335
All,AHC,-70.0,0.077284
All,AHC,-60.0,0.083076
All,AHC,-50.0,0.100301
All,AHC,-40.0,0.036016
All,AHC,-30.0,0.136874
All,AHC,-20.0,0.214227
All,AHC,-10.0,0.109106
All,AHC,0.0,0.062996
All,AHC,10.0,0.057922
All,AHC,20.0,0.083303
All,AHC,30.0,0.106585
All,AHC,40.0,0.119412
All,AHC,50.0,0.107059
All,AHC,60.0,0.263224
All,AHC,70.0,0.116324
All,AHC,80.0,0.117155
All,AHC,90.0,0.21198
All,AHC,100.0,0.114836
All,AHC,110.0,0.344739
All,AHC,120.0,0.281644
All,AHC,130.0,0.310147
All,AHC,140.0,0.285443
All,AHC,150.0,0.246946
All,AHC,160.0,0.294369
All,AHC,170.0,0.236667
All,AHC,180.0,0.395705
All,AHC,190.0,0.41193
All,AHC,200.0,0.583824
All,AHC,210.0,0.469869
All,AHC,220.0,0.389868
All,AHC,230.0,0.588631
All,AHC,240.0,0.584103
All,AHC,250.0,0.594008
All,AHC,260.0,0.401261
All,AHC,270.0,0.717084
All,AHC,280.0,0.653588
All,AHC,290.0,0.710966
All,AHC,300.0,0.635468
All,AHC,310.0,0.917703
All,AHC,320.0,0.854105
All,AHC,330.0,0.832116
All,AHC,340.0,0.659623
All,AHC,350.0,0.602705
All,AHC,360.0,0.846671
All,AHC,370.0,0.701388
All,AHC,380.0,1.046823
All,AHC,390.0,0.790463
All,AHC,400.0,0.845081
All,AHC,410.0,0.811239
All,AHC,420.0,0.963714
All,AHC,430.0,0.911555
All,AHC,440.0,0.903286
All,AHC,450.0,0.865242
All,AHC,460.0,1.057937
All,AHC,470.0,0.832909
All,AHC,480.0,0.83078
All,AHC,490.0,0.985139
All,AHC,500.0,1.024692
All,AHC,510.0,0.958536
All,AHC,520.0,0.878737
All,AHC,530.0,0.775257
All,AHC,540.0,0.883916
All,AHC,550.0,0.919815
All,AHC,560.0,0.734334
All,AHC,570.0,0.71126
All,AHC,580.0,0.663926
All,AHC,590.0,0.876262
All,AHC,600.0,0.675481
All,AHC,610.0,0.874582
All,AHC,620.0,0.76345
All,AHC,630.0,0.698828
All,AHC,640.0,0.713499
All,AHC,650.0,0.785351
All,AHC,660.0,0.871418
All,AHC,670.0,0.678164
All,AHC,680.0,0.614956
All,AHC,690.0,0.590987
All,AHC,700.0,0.673874
All,AHC,710.0,0.722414
All,AHC,720.0,0.604532
All,AHC,730.0,0.546172
All,AHC,740.0,0.54697
All,AHC,750.0,0.545571
All,AHC,760.0,0.517281
All,AHC,770.0,0.638715
All,AHC,780.0,0.505148
All,AHC,790.0,0.495195
All,AHC,800.0,0.334791
All,AHC,810.0,0.524295
All,AHC,820.0,0.478093
All,AHC,830.0,0.447028
All,AHC,840.0,0.475721
All,AHC,850.0,0.450217
All,AHC,860.0,0.529219
All,AHC,870.0,0.478461
All,AHC,880.0,0.369147
All,AHC,890.0,0.338129
All,AHC,900.0,0.40881
All,AHC,910.0,0.300339
All,AHC,920.0,0.345969
All,AHC,930.0,0.391813
All,AHC,940.0,0.382961
All,AHC,950.0,0.266699
All,AHC,960.0,0.39331
All,AHC,970.0,0.328457
All,AHC,980.0,0.300683
All,AHC,990.0,0.255186
All,AHC,1000.0,0.221494
All,AHC,1010.0,0.290029
All,AHC,1020.0,0.258876
All,AHC,1030.0,0.288831
All,AHC,1040.0,0.189896
All,AHC,1050.0,0.218898
All,AHC,1060.0,0.261064
All,AHC,1070.0,0.21945
All,AHC,1080.0,0.239772
All,AHC,1090.0,0.187048
All,AHC,1100.0,0.159571
All,AHC,1110.0,0.172943
All,AHC,1120.0,0.214372
All,AHC,1130.0,0.19142
All,AHC,1140.0,0.180211
All,AHC,1150.0,0.155907
All,AHC,1160.0,0.168472
All,AHC,1170.0,0.160833
All,AHC,1180.0,0.09603
All,AHC,1190.0,0.131065
All,AHC,1200.0,0.216259
All,AHC,1210.0,0.15068
All,AHC,1220.0,0.098862
All,AHC,1230.0,0.116361
All,AHC,1240.0,0.115527
All,AHC,1250.0,0.115071
All,AHC,1260.0,0.126828
All,AHC,1270.0,0.157018
All,AHC,1280.0,0.104245
All,AHC,1290.0,0.117075
All,AHC,1300.0,0.096986
All,AHC,1310.0,0.123356
All,AHC,1320.0,0.102716
All,AHC,1330.0,0.136207
All,AHC,1340.0,0.088021
All,AHC,1350.0,0.058172
All,AHC,1360.0,0.081314
All,AHC,1370.0,0.049045
All,AHC,1380.0,0.087008
