region,poverty_rate_ahc,period
North East,21,2021-24 (3-year average)
North West,23,2021-24 (3-year average)
Yorkshire and the Humber,23,2021-24 (3-year average)
East Midlands,20,2021-24 (3-year average)
West Midlands,24,2021-24 (3-year average)
East of England,18,2021-24 (3-year average)
London,26,2021-24 (3-year average)
South East,19,2021-24 (3-year average)
South West,19,2021-24 (3-year average)
England,22,2021-24 (3-year average)
Wales,22,2021-24 (3-year average)
Scotland,20,2021-24 (3-year average)
Northern Ireland,17,2021-24 (3-year average)
United Kingdom,21,2021-24 (3-year average)
